dataset,selection_mode,source_condition,target_condition,selected_layer,ridge_alpha,n_fit,n_test,accuracy,macro_f1
BEANS Watkins,source_selected,full_0-8k,full_0-8k,8,100.0,1356,339,0.8820058997050148,0.8824960111870902
BEANS Watkins,source_selected,full_0-8k,lp_0-1000,8,100.0,1356,339,0.09734513274336283,0.06296714423893278
BEANS Watkins,source_selected,full_0-8k,lp_0-2000,8,100.0,1356,339,0.24188790560471976,0.22586634765876087
BEANS Watkins,source_selected,full_0-8k,lp_0-4000,8,100.0,1356,339,0.7109144542772862,0.7152167280029336
BEANS Watkins,source_selected,full_0-8k,lp_0-6000,8,100.0,1356,339,0.8259587020648967,0.8253235746944351
BEANS Watkins,source_selected,full_0-8k,lp_0-8000,8,100.0,1356,339,0.8672566371681416,0.8704685308584394
BEANS Watkins,source_selected,lp_0-1000,full_0-8k,11,100.0,1356,339,0.20353982300884957,0.20770663250641946
BEANS Watkins,source_selected,lp_0-1000,lp_0-1000,11,100.0,1356,339,0.7404129793510325,0.759210466332681
BEANS Watkins,source_selected,lp_0-1000,lp_0-2000,11,100.0,1356,339,0.48672566371681414,0.5258894204269708
BEANS Watkins,source_selected,lp_0-1000,lp_0-4000,11,100.0,1356,339,0.2448377581120944,0.24097756283548377
BEANS Watkins,source_selected,lp_0-1000,lp_0-6000,11,100.0,1356,339,0.22123893805309736,0.22848814745450974
BEANS Watkins,source_selected,lp_0-1000,lp_0-8000,11,100.0,1356,339,0.20058997050147492,0.2057748942016675
BEANS Watkins,source_selected,lp_0-2000,full_0-8k,19,100.0,1356,339,0.4365781710914454,0.4603977334139437
BEANS Watkins,source_selected,lp_0-2000,lp_0-1000,19,100.0,1356,339,0.43952802359882004,0.4608938613132817
BEANS Watkins,source_selected,lp_0-2000,lp_0-2000,19,100.0,1356,339,0.7787610619469026,0.7932108668465286
BEANS Watkins,source_selected,lp_0-2000,lp_0-4000,19,100.0,1356,339,0.5368731563421829,0.5781279456189279
BEANS Watkins,source_selected,lp_0-2000,lp_0-6000,19,100.0,1356,339,0.4837758112094395,0.5114953799004006
BEANS Watkins,source_selected,lp_0-2000,lp_0-8000,19,100.0,1356,339,0.40412979351032446,0.4410120126618794
BEANS Watkins,source_selected,lp_0-4000,full_0-8k,9,100.0,1356,339,0.6814159292035398,0.7085922427477267
BEANS Watkins,source_selected,lp_0-4000,lp_0-1000,9,100.0,1356,339,0.11209439528023599,0.10394420713901749
BEANS Watkins,source_selected,lp_0-4000,lp_0-2000,9,100.0,1356,339,0.39233038348082594,0.4048770001195117
BEANS Watkins,source_selected,lp_0-4000,lp_0-4000,9,100.0,1356,339,0.8584070796460177,0.866897113878201
BEANS Watkins,source_selected,lp_0-4000,lp_0-6000,9,100.0,1356,339,0.8200589970501475,0.8335779573818428
BEANS Watkins,source_selected,lp_0-4000,lp_0-8000,9,100.0,1356,339,0.6371681415929203,0.6630338847565735
BEANS Watkins,source_selected,lp_0-6000,full_0-8k,12,100.0,1356,339,0.8082595870206489,0.8207040246791912
BEANS Watkins,source_selected,lp_0-6000,lp_0-1000,12,100.0,1356,339,0.09734513274336283,0.0726501705970703
BEANS Watkins,source_selected,lp_0-6000,lp_0-2000,12,100.0,1356,339,0.3480825958702065,0.3521778760538374
BEANS Watkins,source_selected,lp_0-6000,lp_0-4000,12,100.0,1356,339,0.8495575221238938,0.8529398718542666
BEANS Watkins,source_selected,lp_0-6000,lp_0-6000,12,100.0,1356,339,0.8672566371681416,0.873602323423793
BEANS Watkins,source_selected,lp_0-6000,lp_0-8000,12,100.0,1356,339,0.7699115044247787,0.7854015610108824
BEANS Watkins,source_selected,lp_0-8000,full_0-8k,21,10.0,1356,339,0.8436578171091446,0.8479548295899908
BEANS Watkins,source_selected,lp_0-8000,lp_0-1000,21,10.0,1356,339,0.0943952802359882,0.07430934472051914
BEANS Watkins,source_selected,lp_0-8000,lp_0-2000,21,10.0,1356,339,0.2536873156342183,0.25349829063120605
BEANS Watkins,source_selected,lp_0-8000,lp_0-4000,21,10.0,1356,339,0.6371681415929203,0.6515184909220726
BEANS Watkins,source_selected,lp_0-8000,lp_0-6000,21,10.0,1356,339,0.7492625368731564,0.7649857232332958
BEANS Watkins,source_selected,lp_0-8000,lp_0-8000,21,10.0,1356,339,0.8407079646017699,0.8470249435173
BEANS Watkins,full_shared,full_0-8k,full_0-8k,8,100.0,1356,339,0.8820058997050148,0.8824960111870902
BEANS Watkins,full_shared,full_0-8k,lp_0-1000,8,100.0,1356,339,0.09734513274336283,0.06296714423893278
BEANS Watkins,full_shared,full_0-8k,lp_0-2000,8,100.0,1356,339,0.24188790560471976,0.22586634765876087
BEANS Watkins,full_shared,full_0-8k,lp_0-4000,8,100.0,1356,339,0.7109144542772862,0.7152167280029336
BEANS Watkins,full_shared,full_0-8k,lp_0-6000,8,100.0,1356,339,0.8259587020648967,0.8253235746944351
BEANS Watkins,full_shared,full_0-8k,lp_0-8000,8,100.0,1356,339,0.8672566371681416,0.8704685308584394
BEANS Watkins,full_shared,lp_0-1000,full_0-8k,8,100.0,1356,339,0.23008849557522124,0.2180282304972342
BEANS Watkins,full_shared,lp_0-1000,lp_0-1000,8,100.0,1356,339,0.7551622418879056,0.7712516999828326
BEANS Watkins,full_shared,lp_0-1000,lp_0-2000,8,100.0,1356,339,0.4837758112094395,0.4935924517053271
BEANS Watkins,full_shared,lp_0-1000,lp_0-4000,8,100.0,1356,339,0.2536873156342183,0.2581372588732751
BEANS Watkins,full_shared,lp_0-1000,lp_0-6000,8,100.0,1356,339,0.23893805309734514,0.23066345753614204
BEANS Watkins,full_shared,lp_0-1000,lp_0-8000,8,100.0,1356,339,0.2153392330383481,0.2009129366469702
BEANS Watkins,full_shared,lp_0-2000,full_0-8k,8,100.0,1356,339,0.4424778761061947,0.49102121568167356
BEANS Watkins,full_shared,lp_0-2000,lp_0-1000,8,100.0,1356,339,0.4306784660766962,0.4702102329345291
BEANS Watkins,full_shared,lp_0-2000,lp_0-2000,8,100.0,1356,339,0.8112094395280236,0.8229004466835148
BEANS Watkins,full_shared,lp_0-2000,lp_0-4000,8,100.0,1356,339,0.5309734513274337,0.563042288064048
BEANS Watkins,full_shared,lp_0-2000,lp_0-6000,8,100.0,1356,339,0.49852507374631266,0.5340481939733972
BEANS Watkins,full_shared,lp_0-2000,lp_0-8000,8,100.0,1356,339,0.4277286135693215,0.4871657588364418
BEANS Watkins,full_shared,lp_0-4000,full_0-8k,8,100.0,1356,339,0.6873156342182891,0.6957854132545311
BEANS Watkins,full_shared,lp_0-4000,lp_0-1000,8,100.0,1356,339,0.11209439528023599,0.09376374853602285
BEANS Watkins,full_shared,lp_0-4000,lp_0-2000,8,100.0,1356,339,0.40412979351032446,0.4017530783160131
BEANS Watkins,full_shared,lp_0-4000,lp_0-4000,8,100.0,1356,339,0.8495575221238938,0.8580753852849463
BEANS Watkins,full_shared,lp_0-4000,lp_0-6000,8,100.0,1356,339,0.8082595870206489,0.8224547040602791
BEANS Watkins,full_shared,lp_0-4000,lp_0-8000,8,100.0,1356,339,0.6106194690265486,0.6392443178681751
BEANS Watkins,full_shared,lp_0-6000,full_0-8k,8,100.0,1356,339,0.7964601769911505,0.8071659576779558
BEANS Watkins,full_shared,lp_0-6000,lp_0-1000,8,100.0,1356,339,0.09734513274336283,0.06749205805211735
BEANS Watkins,full_shared,lp_0-6000,lp_0-2000,8,100.0,1356,339,0.3215339233038348,0.32903200806014105
BEANS Watkins,full_shared,lp_0-6000,lp_0-4000,8,100.0,1356,339,0.8289085545722714,0.8337071105463699
BEANS Watkins,full_shared,lp_0-6000,lp_0-6000,8,100.0,1356,339,0.8820058997050148,0.8859517731815455
BEANS Watkins,full_shared,lp_0-6000,lp_0-8000,8,100.0,1356,339,0.7669616519174042,0.7835314112652505
BEANS Watkins,full_shared,lp_0-8000,full_0-8k,8,100.0,1356,339,0.8436578171091446,0.8450759875232429
BEANS Watkins,full_shared,lp_0-8000,lp_0-1000,8,100.0,1356,339,0.09144542772861357,0.0610570122155765
BEANS Watkins,full_shared,lp_0-8000,lp_0-2000,8,100.0,1356,339,0.23303834808259588,0.2343894406182996
BEANS Watkins,full_shared,lp_0-8000,lp_0-4000,8,100.0,1356,339,0.7020648967551623,0.7079157435053736
BEANS Watkins,full_shared,lp_0-8000,lp_0-6000,8,100.0,1356,339,0.8053097345132744,0.8084480019019353
BEANS Watkins,full_shared,lp_0-8000,lp_0-8000,8,100.0,1356,339,0.8820058997050148,0.8860937051690022
