event_id,condition,target,baseline_prediction,base_loss,prediction_eta_0p01,correct_eta_0p01,prediction_eta_0p03,correct_eta_0p03,prediction_eta_0p1,correct_eta_0p1,prediction_eta_0p3,correct_eta_0p3,prediction_eta_1p0,correct_eta_1p0
669272,lp_0-1000,Seep,Phee,0.5235719084739685,Seep,true,Seep,true,Seep,true,Seep,true,Seep,true
741056,lp_0-1000,Seep,Phee,0.5586383938789368,Phee,false,Seep,true,Seep,true,Seep,true,Seep,true
769197,lp_0-1000,Seep,Phee,0.6671059727668762,Phee,false,Phee,false,Seep,true,Seep,true,Seep,true
110359,lp_0-1000,Tsik,Phee,1.1140844821929932,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
110581,lp_0-1000,Tsik,Phee,1.179368495941162,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
122742,lp_0-1000,Tsik,Seep,0.8293601274490356,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
200722,lp_0-1000,Tsik,Phee,1.0592623949050903,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
209834,lp_0-1000,Tsik,Phee,1.1842058897018433,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
209838,lp_0-1000,Tsik,Phee,0.9945252537727356,Seep,false,Twitter,false,Seep,false,Tsik,true,Tsik,true
209846,lp_0-1000,Tsik,Seep,0.9883869886398315,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
209851,lp_0-1000,Tsik,Seep,1.047950029373169,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
209853,lp_0-1000,Tsik,Seep,1.0261304378509521,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
209876,lp_0-1000,Tsik,Phee,1.1284688711166382,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
209891,lp_0-1000,Tsik,Seep,1.1356691122055054,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
209893,lp_0-1000,Tsik,Phee,1.1586271524429321,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
209900,lp_0-1000,Tsik,Seep,1.0015970468521118,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
209901,lp_0-1000,Tsik,Phee,0.9725131392478943,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
209905,lp_0-1000,Tsik,Seep,1.0135878324508667,Phee,false,Seep,false,Phee,false,Tsik,true,Tsik,true
209919,lp_0-1000,Tsik,Seep,0.993575394153595,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
223371,lp_0-1000,Tsik,Phee,1.191686987876892,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
31471,lp_0-1000,Tsik,Phee,1.0623507499694824,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
335642,lp_0-1000,Tsik,Phee,1.102357029914856,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
423771,lp_0-1000,Tsik,Seep,0.9689124226570129,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
438410,lp_0-1000,Tsik,Phee,1.1184427738189697,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
468429,lp_0-1000,Tsik,Phee,1.0677156448364258,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
480809,lp_0-1000,Tsik,Phee,1.111660122871399,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
481037,lp_0-1000,Tsik,Phee,0.9641856551170349,Phee,false,Seep,false,Seep,false,Tsik,true,Tsik,true
508870,lp_0-1000,Tsik,Seep,0.9524832367897034,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
508903,lp_0-1000,Tsik,Seep,1.0561668872833252,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
508905,lp_0-1000,Tsik,Seep,0.9227287769317627,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
508923,lp_0-1000,Tsik,Seep,1.0117002725601196,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
50919,lp_0-1000,Tsik,Seep,0.9808507561683655,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
525735,lp_0-1000,Tsik,Seep,0.9021686315536499,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
526904,lp_0-1000,Tsik,Seep,1.0289332866668701,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
549904,lp_0-1000,Tsik,Seep,1.0188413858413696,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
558254,lp_0-1000,Tsik,Seep,0.9610991477966309,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
563468,lp_0-1000,Tsik,Seep,0.964476466178894,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
567790,lp_0-1000,Tsik,Phee,1.1054514646530151,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
589271,lp_0-1000,Tsik,Phee,1.1330815553665161,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
593315,lp_0-1000,Tsik,Seep,0.957002580165863,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
610080,lp_0-1000,Tsik,Phee,1.1062511205673218,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
614794,lp_0-1000,Tsik,Phee,1.1517354249954224,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
623831,lp_0-1000,Tsik,Phee,1.193976640701294,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
631947,lp_0-1000,Tsik,Phee,0.9855144023895264,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
636120,lp_0-1000,Tsik,Phee,1.0254120826721191,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
636151,lp_0-1000,Tsik,Seep,0.9869170784950256,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
642827,lp_0-1000,Tsik,Seep,0.9695678949356079,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
654915,lp_0-1000,Tsik,Phee,1.1879432201385498,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
663998,lp_0-1000,Tsik,Phee,1.1255913972854614,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
666571,lp_0-1000,Tsik,Seep,1.069663166999817,Phee,false,Seep,false,Phee,false,Tsik,true,Tsik,true
666726,lp_0-1000,Tsik,Seep,1.1468068361282349,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
666835,lp_0-1000,Tsik,Phee,0.9948335886001587,Phee,false,Phee,false,Tsik,true,Tsik,true,Tsik,true
667582,lp_0-1000,Tsik,Seep,1.0544036626815796,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
668393,lp_0-1000,Tsik,Phee,1.1027374267578125,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
668980,lp_0-1000,Tsik,Seep,1.0550367832183838,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
669789,lp_0-1000,Tsik,Seep,0.9954110383987427,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
687663,lp_0-1000,Tsik,Seep,0.8449587225914001,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
716490,lp_0-1000,Tsik,Seep,0.9359124898910522,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
746198,lp_0-1000,Tsik,Phee,1.1435973644256592,Seep,false,Phee,false,Phee,false,Tsik,true,Tsik,true
753447,lp_0-1000,Tsik,Seep,0.9967979788780212,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
755986,lp_0-1000,Tsik,Phee,1.1205735206604004,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
770417,lp_0-1000,Tsik,Phee,1.1190897226333618,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
770853,lp_0-1000,Tsik,Seep,0.9305338263511658,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
779744,lp_0-1000,Tsik,Phee,1.0006599426269531,Phee,false,Phee,false,Seep,false,Tsik,true,Tsik,true
784804,lp_0-1000,Tsik,Seep,0.9525796175003052,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
787004,lp_0-1000,Tsik,Seep,0.8867844343185425,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
792714,lp_0-1000,Tsik,Seep,0.880720317363739,Seep,false,Seep,false,Tsik,true,Tsik,true,Tsik,true
799377,lp_0-1000,Tsik,Seep,0.9423938393592834,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
801091,lp_0-1000,Tsik,Seep,0.9668393731117249,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
807122,lp_0-1000,Tsik,Seep,0.9351308345794678,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
816990,lp_0-1000,Tsik,Phee,1.1252167224884033,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
84423,lp_0-1000,Tsik,Phee,1.190185308456421,Phee,false,Phee,false,Phee,false,Tsik,true,Tsik,true
853911,lp_0-1000,Tsik,Seep,0.8511354923248291,Seep,false,Seep,false,Seep,false,Tsik,true,Tsik,true
137886,lp_0-1000,Twitter,Phee,1.5642945766448975,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
174653,lp_0-1000,Twitter,Phee,1.8871729373931885,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
248296,lp_0-1000,Twitter,Phee,2.1387367248535156,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
508634,lp_0-1000,Twitter,Seep,1.7686007022857666,Seep,false,Seep,false,Twitter,true,Twitter,true,Twitter,true
527487,lp_0-1000,Twitter,Phee,2.0546960830688477,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
539125,lp_0-1000,Twitter,Phee,1.472135066986084,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
592286,lp_0-1000,Twitter,Phee,1.6029376983642578,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
602268,lp_0-1000,Twitter,Phee,1.7103776931762695,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
624179,lp_0-1000,Twitter,Phee,1.8253355026245117,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
625053,lp_0-1000,Twitter,Phee,2.0905895233154297,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
699227,lp_0-1000,Twitter,Phee,1.4279022216796875,Seep,false,Twitter,true,Twitter,true,Twitter,true,Twitter,true
8116,lp_0-1000,Twitter,Phee,1.8300988674163818,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
861853,lp_0-1000,Twitter,Phee,2.129340887069702,Phee,false,Phee,false,Twitter,true,Twitter,true,Twitter,true
